Player_Name,DOB,Batting_Hand,Bowling_Skill,Country,Unnamed:_5,Age,Age_Group,Role,Experience,Batting_Rating,Bowling_Rating,Fielding_Rating,Fitness,Overall_Rating
A Ashish Reddy,1991-02-24,Right Hand,Right-Arm Medium,India,,34.0,31-35,Bowler,64,47,77,62,75,62.85
A Chandila,1983-12-05,Right Hand,Right-Arm Offbreak,India,,42.0,40+,Bowler,96,45,78,89,60,69.0
A Chopra,1977-09-19,Right Hand,Right-Arm Offbreak,India,,48.0,40+,Bowler,100,39,77,86,84,67.7
A Choudhary,,Right Hand,Left-Arm Fast-Medium,Unknown,,39.0,36-40,Bowler,84,31,92,60,76,64.25
A Dananjaya,,Right Hand,Right-Arm Offbreak,Unknown,,39.0,36-40,All-Rounder,84,81,82,92,79,83.2
A Flintoff,1977-12-06,Right Hand,Right-Arm Fast-Medium,England,,48.0,40+,Bowler,100,42,79,68,66,65.85
A Hales,,Right Hand,Unknown,Unknown,,39.0,36-40,Wicket Keeper,84,77,28,97,82,63.8
A Joseph,,Right Hand,Right-Arm Fast,Unknown,,39.0,36-40,Bowler,84,41,78,85,68,66.2
A Kumble,2070-10-17,Right Hand,Legbreak Googly,India,,39.0,36-40,Bowler,84,42,95,63,77,69.65
A Mishra,1982-11-24,Right Hand,Legbreak,India,,43.0,40+,Bowler,100,44,87,64,75,69.2
A Mithun,1989-10-25,Right Hand,Right-Arm Medium,India,,36.0,36-40,Bowler,72,64,92,76,79,77.15
A Mukund,1990-01-06,Right Hand,Legbreak Googly,India,,35.0,31-35,Bowler,68,47,88,83,74,70.2
A Nehra,1979-04-29,Right Hand,Left-Arm Medium-Fast,India,,46.0,40+,All-Rounder,100,73,79,73,85,78.4
A Nel,1977-07-15,Right Hand,Right-Arm Fast-Medium,South Africa,,48.0,40+,Bowler,100,32,95,72,77,69.1
A Roy,,Left Hand,Slow Left-Arm Orthodox,Unknown,,39.0,36-40,Bowler,84,56,89,69,85,73.75
A Singh,1981-06-21,Right Hand,Right-Arm Medium-Fast,India,,44.0,40+,Bowler,100,58,82,78,64,73.9
A Symonds,2075-06-09,Right Hand,Right-Arm Offbreak,Australia,,39.0,36-40,Bowler,84,32,83,72,85,63.7
A Turner,,Right Hand,Unknown,Unknown,,39.0,36-40,Wicket Keeper,84,74,36,92,80,64.7
A Uniyal,1981-11-21,Right Hand,Left-Arm Medium,India,,44.0,40+,Bowler,100,31,82,68,84,63.95
A Zampa,1992-03-31,Right Hand,Legbreak Googly,Australia,,33.0,31-35,Bowler,60,47,93,86,81,71.95
Aa Bilakhia,1986-05-31,Right Hand,Right-Arm Medium,India,,39.0,36-40,Bowler,84,41,85,70,70,66.5
Aa Chavan,1985-10-28,Right Hand,Slow Left-Arm Orthodox,India,,40.0,36-40,Bowler,88,42,77,78,76,65.95
Aa Jhunjhunwala,1982-12-01,Right Hand,Right-Arm Offbreak,India,,43.0,40+,Bowler,100,46,82,79,73,70.3
Aa Kazi,1989-09-29,Right Hand,Slow Left-Arm Orthodox,India,,36.0,36-40,All-Rounder,72,86,77,90,73,81.4
Aa Noffke,1977-04-30,Right Hand,Right-Arm Fast-Medium,Australia,,48.0,40+,All-Rounder,100,81,88,74,82,84.35
Ab Agarkar,1977-12-04,Right Hand,Right-Arm Fast,India,,48.0,40+,All-Rounder,100,73,90,76,69,81.9
Ab Barath,1990-04-14,Left Hand,Right-Arm Offbreak,India,,35.0,31-35,Bowler,68,39,81,63,81,62.3
Ab De Villiers,1984-02-17,Right Hand,Right-Arm Medium,South Africa,,41.0,40+,Bowler,92,46,79,86,62,68.95
Ab Dinda,1984-03-25,Right Hand,Right-Arm Medium-Fast,India,,41.0,40+,Bowler,92,51,92,60,69,71.7
Ab Mcdonald,1981-06-05,Right Hand,Right-Arm Fast-Medium,Australia,,44.0,40+,All-Rounder,100,67,73,80,84,75.2
Abdur Razzak,1982-06-15,Left Hand,Slow Left-Arm Orthodox,Bangladesh,,43.0,40+,Bowler,100,52,90,83,63,75.3
Ac Blizzard,1984-06-27,Left Hand,Left-Arm Medium,Australia,,41.0,40+,Bowler,92,43,80,86,60,68.15
Ac Gilchrist,2071-11-14,Left Hand,Right-Arm Offbreak,Australia,,39.0,36-40,Bowler,84,60,78,61,71,69.4
Ac Thomas,1977-02-09,Right Hand,Right-Arm Fast-Medium,England,,48.0,40+,Bowler,100,64,94,87,70,81.85
Ac Voges,1979-10-04,Right Hand,Slow Left-Arm Orthodox,Australia,,46.0,40+,All-Rounder,100,66,90,86,81,81.55
Ad Mascarenhas,1977-10-30,Right Hand,Right-Arm Fast-Medium,England,,48.0,40+,All-Rounder,100,86,66,80,75,78.95
Ad Mathews,1987-06-02,Right Hand,Right-Arm Fast-Medium,Sri Lanka,,38.0,36-40,All-Rounder,80,66,66,84,72,70.4
Ad Nath,1993-05-10,Right Hand,Right-Arm Medium-Fast,India,,32.0,31-35,Bowler,56,46,89,69,84,67.4
Ad Russell,1988-04-29,Right Hand,Right-Arm Fast,West Indies,,37.0,36-40,Bowler,76,58,79,66,85,69.7
Af Milne,1992-04-13,Right Hand,Right-Arm Fast,New Zealand,,33.0,31-35,Bowler,60,33,92,82,79,66.0
Ag Murtaza,1990-01-01,Left Hand,Slow Left-Arm Orthodox,India,,35.0,31-35,Bowler,68,33,77,65,89,59.5
Ag Paunikar,1988-04-18,Right Hand,Unknown,India,,37.0,36-40,Wicket Keeper,76,88,29,96,66,66.25
Aj Finch,1986-11-17,Right Hand,Slow Left-Arm Orthodox,Australia,,39.0,36-40,All-Rounder,84,88,80,71,66,81.15
Aj Tye,,Right Hand,Right-Arm Fast-Medium,Unknown,,39.0,36-40,Bowler,84,51,90,60,74,70.45
Al Menaria,1990-10-29,Left Hand,Slow Left-Arm Orthodox,India,,35.0,31-35,Bowler,68,47,77,78,72,65.5
Am Nayar,1983-10-08,Left Hand,Right-Arm Medium,India,,42.0,40+,Bowler,96,56,93,85,73,78.15
Am Rahane,1988-06-06,Right Hand,Right-Arm Medium,India,,37.0,36-40,Bowler,76,63,92,62,67,74.5
Am Salvi,1981-10-20,Right Hand,Right-Arm Medium,India,,44.0,40+,All-Rounder,100,69,80,81,84,78.5
An Ahmed,1988-11-05,Right Hand,Right-Arm Medium-Fast,India,,37.0,36-40,Bowler,76,52,86,63,76,69.15
An Ghosh,1986-10-19,Right Hand,Right-Arm Medium,India,,39.0,36-40,Bowler,84,60,85,69,61,72.55
Anand Rajan,1987-04-17,Right Hand,Right-Arm Medium,India,,38.0,36-40,Bowler,80,62,80,84,76,74.1
Anirudh Singh,1980-08-02,Left Hand,Right-Arm Medium,India,,45.0,40+,Bowler,100,47,78,68,73,67.6
Ankit Sharma,1991-04-20,Left Hand,Slow Left-Arm Orthodox,India,,34.0,31-35,All-Rounder,64,87,78,70,90,79.15
Ankit Soni,,Right Hand,Legbreak,Unknown,,39.0,36-40,All-Rounder,84,68,90,74,84,79.0
Anureet Singh,1988-03-02,Right Hand,Right-Arm Medium,India,,37.0,36-40,Bowler,76,63,80,74,62,71.85
Ap Dole,1987-10-09,Right Hand,Right-Arm Medium-Fast,India,,38.0,36-40,Bowler,80,43,76,76,74,64.75
Ap Majumdar,1984-04-30,Right Hand,Legbreak Googly,India,,41.0,40+,Bowler,92,30,79,67,75,61.15
Ap Tare,1987-11-07,Right Hand,Unknown,India,,38.0,36-40,Wicket Keeper,80,82,19,93,74,61.0
Ar Bawne,,Right Hand,Unknown,Unknown,,39.0,36-40,Wicket Keeper,84,84,16,94,82,61.6
Ar Patel,1994-01-20,Left Hand,Slow Left-Arm Orthodox,India,,31.0,31-35,Bowler,52,30,81,90,86,61.85
As Rajpoot,1993-12-04,Right Hand,Right-Arm Medium,India,,32.0,31-35,Bowler,56,63,75,63,84,67.55
As Raut,1987-03-03,Right Hand,Legbreak Googly,India,,38.0,36-40,All-Rounder,80,76,85,79,76,80.0
As Yadav,,Right Hand,Unknown,Unknown,,39.0,36-40,Wicket Keeper,84,89,43,89,73,71.6
At Rayudu,1985-09-23,Right Hand,Right-Arm Offbreak,India,,40.0,36-40,Bowler,88,33,85,88,79,67.25
Auk Pathan,1984-06-17,Right Hand,Right-Arm Medium,India,,41.0,40+,Bowler,92,62,75,78,66,72.15
Av Wankhade,1992-03-14,Right Hand,Unknown,India,,33.0,31-35,Wicket Keeper,60,70,11,96,73,52.4
Avesh Khan,,Right Hand,Right-Arm Fast-Medium,Unknown,,39.0,36-40,Bowler,84,41,87,80,73,68.85
Azhar Mahmood,2075-02-28,Right Hand,Right-Arm Fast-Medium,Pakistan,,39.0,36-40,Bowler,84,60,90,85,72,77.25
B Akhil,1977-10-07,Right Hand,Right-Arm Medium-Fast,India,,48.0,40+,All-Rounder,100,80,67,89,72,78.4
B Aparajith,1994-07-08,Right Hand,Right-Arm Offbreak,India,,31.0,31-35,All-Rounder,52,71,81,92,87,76.55
B Chipli,1983-01-27,Right Hand,Right-Arm Medium,India,,42.0,40+,Bowler,96,65,94,63,72,78.3
B Geeves,1982-06-13,Right Hand,Right-Arm Fast-Medium,Australia,,43.0,40+,Bowler,100,55,81,69,62,71.05
B Kumar,1990-02-05,Right Hand,Right-Arm Medium,India,,35.0,31-35,Bowler,68,36,89,63,76,63.8
B Laughlin,1982-10-03,Right Hand,Right-Arm Fast-Medium,Australia,,43.0,40+,Bowler,100,46,84,89,66,72.15
B Lee,1976-11-08,Right Hand,Right-Arm Fast,Australia,,49.0,40+,Bowler,100,56,90,84,65,76.95
B Stanlake,,Right Hand,Right-Arm Fast,Unknown,,39.0,36-40,Bowler,84,33,84,71,81,64.05
B Sumanth,1988-05-10,Right Hand,Right-Arm Medium-Fast,India,,37.0,36-40,All-Rounder,76,71,80,89,82,77.9
Ba Bhatt,1990-05-13,Left Hand,Slow Left-Arm Orthodox,India,,35.0,31-35,Bowler,68,50,94,82,83,73.65
Ba Stokes,,Left Hand,Right-Arm Fast-Medium,Unknown,,39.0,36-40,Bowler,84,61,96,80,70,78.85
Basil Thampi,,Right Hand,Right-Arm Fast,Unknown,,39.0,36-40,All-Rounder,84,67,84,88,81,78.5
Baw Mendis,1985-03-11,Right Hand,Right-Arm Offbreak,Sri Lanka,,40.0,36-40,Bowler,88,51,76,89,83,70.75
Bb Mccullum,1981-09-27,Right Hand,Right-Arm Medium,New Zealand,,44.0,40+,Bowler,100,48,92,90,75,76.25
Bb Samantray,1988-12-14,Right Hand,Unknown,India,,37.0,36-40,Wicket Keeper,76,74,40,84,74,63.8
Bb Sran,1992-12-10,Left Hand,Left-Arm Medium,India,,33.0,31-35,Bowler,60,61,94,90,72,77.35
Bcj Cutting,1987-01-30,Right Hand,Right-Arm Fast-Medium,Australia,,38.0,36-40,All-Rounder,80,85,71,70,60,76.1
Be Hendricks,1990-06-08,Left Hand,Left-Arm Fast-Medium,South Africa,,35.0,31-35,Bowler,68,52,77,86,75,68.6
Bipul Sharma,1983-09-28,Left Hand,Slow Left-Arm Orthodox,India,,42.0,40+,Bowler,96,56,86,61,62,71.55
Bj Haddin,1977-10-23,Right Hand,Unknown,Australia,,48.0,40+,Wicket Keeper,100,72,39,82,72,64.75
Bj Hodge,2074-12-29,Right Hand,Right-Arm Offbreak,Australia,,39.0,36-40,Bowler,84,41,76,75,74,64.3
Bj Rohrer,1981-03-26,Left Hand,Right-Arm Offbreak,Australia,,44.0,40+,All-Rounder,100,66,69,91,66,74.2
Bmaj Mendis,1983-01-15,Left Hand,Right-Arm Offbreak,Sri Lanka,,42.0,40+,Bowler,96,51,81,63,74,68.95
Br Dunk,1987-03-11,Left Hand,Right-Arm Fast,Australia,,38.0,36-40,Bowler,80,49,92,61,63,69.65
Bw Hilfenhaus,1983-03-15,Right Hand,Right-Arm Fast,Australia,,42.0,40+,Bowler,96,64,84,88,74,78.3
C De Grandhomme,,Right Hand,Legbreak,Unknown,,39.0,36-40,Bowler,84,30,82,71,82,62.35
C Ganapathy,1981-06-10,Right Hand,Right-Arm Medium,India,,44.0,40+,Bowler,100,53,80,86,81,73.5
C Ingram,,Left Hand,Right-Arm Fast-Medium,Unknown,,39.0,36-40,Bowler,84,60,77,77,77,71.75
C Madan,1982-10-15,Right Hand,Unknown,India,,43.0,40+,Wicket Keeper,100,85,43,94,78,72.8
C Munro,1987-03-11,Left Hand,Right-Arm Medium-Fast,New Zealand,,38.0,36-40,All-Rounder,80,78,76,83,69,77.8
C Nanda,1979-03-29,Right Hand,Legbreak,India,,46.0,40+,Bowler,100,46,81,85,84,71.4
Ca Ingram,1985-07-03,Left Hand,Legbreak,South Africa,,40.0,36-40,Bowler,88,39,76,85,62,64.9
Ca Lynn,1990-04-10,Right Hand,Slow Left-Arm Orthodox,Australia,,35.0,31-35,All-Rounder,68,78,77,83,82,77.6
Ca Pujara,1988-01-25,Right Hand,Legbreak,India,,37.0,36-40,All-Rounder,76,80,70,79,85,76.2
Ch Gayle,1979-09-21,Left Hand,Right-Arm Offbreak,West Indies,,46.0,40+,Bowler,100,53,95,83,85,78.5
Ch Morris,1987-04-30,Right Hand,Right-Arm Fast-Medium,South Africa,,38.0,36-40,Bowler,80,47,92,68,76,70.65
Cj Anderson,1990-12-13,Left Hand,Left-Arm Medium-Fast,New Zealand,,35.0,31-35,Bowler,68,62,77,71,87,70.45
Cj Ferguson,1984-11-21,Right Hand,Right-Arm Medium,Australia,,41.0,40+,Bowler,92,65,76,61,82,71.8
Cj Jordan,1988-10-04,Right Hand,Right-Arm Fast-Medium,England,,37.0,36-40,Bowler,76,51,90,77,71,72.05
Cj Mckay,1983-02-20,Right Hand,Right-Arm Fast-Medium,Australia,,42.0,40+,Bowler,96,33,89,73,61,66.3
Ck Kapugedera,1987-02-24,Right Hand,Right-Arm Medium,Sri Lanka,,38.0,36-40,All-Rounder,80,88,79,71,77,80.95
Ck Langeveldt,2074-12-17,Right Hand,Right-Arm Fast-Medium,England,,39.0,36-40,All-Rounder,84,65,67,88,71,71.35
Cl White,1983-08-18,Right Hand,Legbreak Googly,Australia,,42.0,40+,All-Rounder,96,73,82,82,60,79.15
Cm Gautam,1986-03-08,Right Hand,Unknown,India,,39.0,36-40,Wicket Keeper,84,82,17,94,69,60.6
Cr Brathwaite,1988-07-18,Right Hand,Right-Arm Fast-Medium,West Indies,,37.0,36-40,Bowler,76,31,80,62,81,59.8
Cr Woakes,,Right Hand,Right-Arm Fast-Medium,Unknown,,39.0,36-40,Bowler,84,36,92,90,83,70.85
Crd Fernando,1979-07-19,Right Hand,Right-Arm Fast-Medium,Sri Lanka,,46.0,40+,Bowler,100,40,79,60,69,64.1
D Du Preez,1981-11-08,Right Hand,Right-Arm Fast-Medium,South Africa,,44.0,40+,Bowler,100,57,95,64,73,76.45
D Kalyankrishna,1983-12-16,Right Hand,Right-Arm Medium-Fast,India,,42.0,40+,Bowler,96,31,88,79,68,66.5
D Salunkhe,1982-11-12,Right Hand,Legbreak,India,,43.0,40+,Bowler,100,53,90,65,62,72.9
D Shorey,,Right Hand,Unknown,Unknown,,39.0,36-40,Wicket Keeper,84,81,24,97,68,63.1
D Short,,Left Hand,Slow Left-Arm Orthodox,Unknown,,39.0,36-40,All-Rounder,84,86,75,75,65,79.25
D Wiese,1985-05-18,Right Hand,Right-Arm Medium-Fast,South Africa,,40.0,36-40,Bowler,88,59,77,74,66,70.8
D Willey,,Right Hand,Left-Arm Fast-Medium,Unknown,,39.0,36-40,Bowler,84,52,93,62,70,71.95
Da Miller,1989-06-10,Left Hand,Right-Arm Offbreak,South Africa,,36.0,36-40,Bowler,72,65,82,64,84,72.45
Da Warner,1986-10-27,Left Hand,Legbreak,Australia,,39.0,36-40,Bowler,84,61,87,81,68,75.75
Daj Bracewell,1990-09-28,Right Hand,Right-Arm Fast-Medium,New Zealand,,35.0,31-35,Bowler,68,52,75,90,90,69.25
Db Das,1986-09-22,Right Hand,Legbreak Googly,India,,39.0,36-40,Bowler,84,63,88,90,64,77.95
Db Ravi Teja,1987-09-05,Right Hand,Legbreak Googly,India,,38.0,36-40,Bowler,80,32,76,68,68,59.4
De Bollinger,1981-07-24,Left Hand,Left-Arm Fast-Medium,Australia,,44.0,40+,Bowler,100,61,77,68,76,72.3
Dh Yagnik,1983-06-22,Left Hand,Unknown,India,,42.0,40+,Wicket Keeper,96,77,42,90,65,68.0
Dj Bravo,1983-10-07,Right Hand,Right-Arm Medium-Fast,West Indies,,42.0,40+,Bowler,96,53,81,68,66,70.0
Dj Harris,1979-12-31,Right Hand,Right-Arm Medium,Australia,,46.0,40+,Bowler,100,43,76,69,70,65.5
Dj Hooda,1995-04-19,Right Hand,Right-Arm Offbreak,India,,30.0,26-30,All-Rounder,48,76,68,79,82,71.15
Dj Hussey,1977-07-15,Right Hand,Right-Arm Offbreak,Australia,,48.0,40+,All-Rounder,100,85,80,73,66,82.0
Dj Jacobs,1982-11-04,Right Hand,Right-Arm Medium,South Africa,,43.0,40+,All-Rounder,100,86,69,80,66,79.55
Dj Muthuswami,1981-03-09,Right Hand,Right-Arm Medium,India,,44.0,40+,All-Rounder,100,80,68,93,63,78.9
Dj Thornely,1978-10-01,Right Hand,Right-Arm Medium,Australia,,47.0,40+,Bowler,100,41,80,73,71,66.85
Djg Sammy,1983-12-20,Right Hand,Right-Arm Medium-Fast,West Indies,,42.0,40+,Bowler,96,41,81,64,78,65.8
Dl Chahar,1992-08-07,Right Hand,Right-Arm Medium,India,,33.0,31-35,All-Rounder,60,80,85,81,74,79.6
Dl Vettori,1979-01-27,Left Hand,Slow Left-Arm Orthodox,New Zealand,,46.0,40+,All-Rounder,100,72,82,75,80,79.15
Dm Bravo,,Left Hand,Unknown,Unknown,,39.0,36-40,Wicket Keeper,84,74,32,85,76,62.05
Dnt Zoysa,1978-05-13,Left Hand,Left-Arm Fast-Medium,Sri Lanka,,47.0,40+,Bowler,100,61,94,65,63,77.15
Dp Nannes,1976-05-16,Right Hand,Left-Arm Fast,Australia,,49.0,40+,Bowler,100,54,76,83,74,71.65
Dp Vijaykumar,1986-10-20,Right Hand,Right-Arm Medium,India,,39.0,36-40,Bowler,84,53,92,75,84,74.6
Dpmd Jayawardene,1977-05-27,Right Hand,Right-Arm Medium,Sri Lanka,,48.0,40+,Bowler,100,35,93,65,64,67.75
Dr Martyn,2071-10-21,Right Hand,Right-Arm Medium,Australia,,39.0,36-40,Bowler,84,61,95,66,84,77.1
Dr Smith,1983-04-12,Right Hand,Right-Arm Medium,West Indies,,42.0,40+,Bowler,96,65,85,87,79,79.1
Ds Kulkarni,1988-12-10,Right Hand,Right-Arm Medium,India,,37.0,36-40,Bowler,76,65,96,70,61,77.5
Ds Lehmann,2070-02-05,Left Hand,Slow Left-Arm Orthodox,Australia,,39.0,36-40,Bowler,84,58,94,84,80,78.2
Dt Christian,1983-05-04,Right Hand,Right-Arm Fast-Medium,Australia,,42.0,40+,Bowler,96,64,94,67,82,79.05
Dt Patil,1984-12-06,Right Hand,Unknown,India,,41.0,40+,Wicket Keeper,92,75,29,80,84,61.8
Dw Steyn,1983-06-27,Right Hand,Right-Arm Fast,South Africa,,42.0,40+,Bowler,96,62,84,81,67,76.2
E Lewis,,Left Hand,Unknown,Unknown,,39.0,36-40,Wicket Keeper,84,77,45,82,60,66.4
Ejg Morgan,1986-09-10,Left Hand,Right-Arm Medium,England,,39.0,36-40,All-Rounder,84,79,80,70,69,78.0
Er Dwivedi,1988-07-22,Right Hand,Unknown,India,,37.0,36-40,Wicket Keeper,76,79,32,88,73,63.3
F Behardien,1983-10-09,Right Hand,Right-Arm Fast-Medium,South Africa,,42.0,40+,Bowler,96,57,83,70,77,72.95
F Du Plessis,1984-07-13,Right Hand,Legbreak,South Africa,,41.0,40+,All-Rounder,92,87,70,85,77,80.75
Fh Edwards,1982-02-06,Right Hand,Right-Arm Fast,West Indies,,43.0,40+,Bowler,100,34,87,77,60,66.9
Fy Fazal,1985-09-07,Left Hand,Right-Arm Medium,India,,40.0,36-40,Bowler,88,38,90,79,64,68.65
G Gambhir,1981-10-14,Left Hand,Legbreak,India,,44.0,40+,Bowler,100,48,77,87,79,70.75
Gagandeep Singh,1981-10-03,Right Hand,Right-Arm Medium-Fast,India,,44.0,40+,Bowler,100,30,89,61,75,64.55
Gb Hogg,2071-02-06,Left Hand,Slow Left-Arm Chinaman,Australia,,39.0,36-40,Bowler,84,50,79,84,62,69.25
Gc Smith,1981-02-01,Left Hand,Right-Arm Offbreak,South Africa,,44.0,40+,Bowler,100,47,76,82,76,69.15
Gd Mcgrath,2070-02-09,Right Hand,Right-Arm Fast-Medium,Australia,,39.0,36-40,Bowler,84,43,96,90,64,73.75
Gh Vihari,1993-10-13,Right Hand,Right-Arm Offbreak,India,,32.0,31-35,All-Rounder,56,87,83,71,92,80.35
Gj Bailey,1982-09-07,Right Hand,Right-Arm Medium,Australia,,43.0,40+,Bowler,100,30,91,67,81,66.45
Gj Maxwell,1988-10-14,Right Hand,Right-Arm Offbreak,Australia,,37.0,36-40,All-Rounder,76,67,66,70,83,68.8
Gr Napier,1980-01-06,Right Hand,Right-Arm Medium,England,,45.0,40+,All-Rounder,100,74,79,82,63,79.0
Gs Sandhu,1993-06-14,Left Hand,Right-Arm Fast-Medium,Australia,,32.0,31-35,Bowler,56,63,88,71,91,73.65
Gurkeerat Singh,1990-06-29,Right Hand,Right-Arm Offbreak,India,,35.0,31-35,Bowler,68,64,93,72,89,77.0
H Brar,,Left Hand,Slow Left-Arm Orthodox,Unknown,,39.0,36-40,Bowler,84,65,80,84,66,75.05
H Das,1986-12-10,Right Hand,Unknown,India,,39.0,36-40,Wicket Keeper,84,87,38,98,78,70.75
H Gurney,,Right Hand,Right-Arm Fast-Medium,Unknown,,39.0,36-40,All-Rounder,84,71,65,92,75,73.55
H Klaasen,,Right Hand,Unknown,Unknown,,39.0,36-40,Wicket Keeper,84,79,41,95,61,67.7
H Vihari,,Right Hand,Right-Arm Offbreak,Unknown,,39.0,36-40,Bowler,84,44,79,76,66,66.15
H Viljoen,,Right Hand,Right-Arm Fast,Unknown,,39.0,36-40,Bowler,84,34,85,68,61,63.3
Harbhajan Singh,1980-07-03,Right Hand,Right-Arm Offbreak,India,,45.0,40+,Bowler,100,39,77,61,78,63.65
Harmeet Singh,1992-09-07,Left Hand,Slow Left-Arm Orthodox,India,,33.0,31-35,Bowler,60,62,77,60,77,67.5
Harmeet Singh (2),,Right Hand,Right-Arm Fast-Medium,Unknown,,39.0,36-40,Bowler,84,57,78,90,74,72.85
Harpreet Singh,1991-08-11,Left Hand,Right-Arm Medium,India,,34.0,31-35,All-Rounder,64,65,87,89,90,77.45
Hh Gibbs,2074-02-23,Right Hand,Right-Arm Bowler,South Africa,,39.0,36-40,Batter,84,85,41,79,63,67.5
Hh Pandya,1993-10-11,Right Hand,Right-Arm Medium-Fast,India,,32.0,31-35,Bowler,56,57,81,88,95,71.85
Hm Amla,1983-03-31,Right Hand,Right-Arm Offbreak,South Africa,,42.0,40+,All-Rounder,96,80,86,82,79,83.95
Hv Patel,1990-11-23,Right Hand,Right-Arm Medium,India,,35.0,31-35,Bowler,68,44,79,88,84,67.25
I Malhotra,1984-05-23,Right Hand,Right-Arm Medium-Fast,India,,41.0,40+,All-Rounder,92,70,78,73,79,75.9
I Sharma,1988-09-02,Right Hand,Right-Arm Fast-Medium,India,,37.0,36-40,All-Rounder,76,78,66,82,64,73.5
I Sodhi,,Right Hand,Legbreak Googly,Unknown,,39.0,36-40,Bowler,84,50,85,72,63,69.6
